Comune;Provincia;Regione;Tipologia;Categoria;Denominazione;Indirizzo;CAP;Località;Frazione;Telefono;FAX;Indirizzo posta elettronica;Sito internet;Codice esercizio;Camere;Posti letto standard;Posti letto aggiuntivi;18;1]                                                                              ##
APRICALE;IMPERIA;Liguria;Alberghi diffusi;3STELLE;MUNTA E CARA;PIAZZA VITTORIO VENETO, 2;;;;0184 209030;0184 209866;info@muntaecara.it;;20109;10;32;;19;1]                                                                                                                                               ##
APRICALE;IMPERIA;Liguria;Locande;2STELLE;LA FAVORITA;STRADA SAN PIETRO;18035;APRICALE;;0184 208186;0184 208247;info@lafavoritaapricale.com;http://www.lafavoritaapricale.com/;2008118;6;12;0;19;1]                                                                                                       ##
APRICALE;IMPERIA;Liguria;Locande;3STELLE;APRICUS;VIA IV NOVEMBRE, 5;18035;APRICALE;;0184 209020;0184 208506;apricuslocanda@libero.it;http://www.apricuslocanda.com;2004162;5;10;0;11;1]                                                                                                                  ##
AQUILA DI ARROSCIA;IMPERIA;Liguria;Alberghi;2STELLE;AL SOLE;VIA SALINO, 4;18020;AQUILA DI ARROSCIA;;0183 382093;0183 382188;albergo.alsole@libero.it;http://www.albergoalsole.it;IM458;26;49;0;17;1]                                                                                                     ##
AQUILA DI ARROSCIA;IMPERIA;Liguria;Alberghi;2STELLE;AQUILA;VIA AIRA, 2;18020;AQUILA DI ARROSCIA;AIRA;0183 382044;0183 382044;albergoristaquila@libero.it;;IM457;10;19;0;15;1]                                                                                                                            ##
BADALUCCO;IMPERIA;Liguria;Locande;3STELLE;LE MACINE DEL CONFLUENTE;;18010;BADALUCCO;OXENTINA;0184 407018;0184 407018;info@macine.eu;http://www.lemacinedelconfluente.com;2005222;6;12;6;15;1]                                                                                                            ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;1STELLA;ELANDRA - CASA MADRE;VIA VITTORIO EMANUELE II, 61;18012;BORDIGHERA;;0184 998736;;hotelelandra@gmail.com;;IM106;10;17;0;20;1]                                                                                                                                 ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;1STELLA;KRISTINA;VIA REGINA MARGHERITA, 24;18012;BORDIGHERA;;0184 261309;0184 261300;info@AlbergoKristina.it;http://www.albergokristina.it;IM103;10;15;0;11;1]                                                                                                       ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;1STELLA;NAGOS;PIAZZA EROI LIBERTA', 7;18012;BORDIGHERA;;0184 260457;0184 260457;rosisoriani@tin.it;;IM108;9;16;0;10;1]                                                                                                                                               ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;1STELLA;VILLA LORETO;VIA G. CESARE, 37;18012;BORDIGHERA;;0184 294332;0184 294332;istitutosuorevillaloreto@gmail.com;;IM114;7;9;0;17;1]                                                                                                                               ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;2STELLE;REGINA MARGHERITA;VIA REGINA MARGHERITA, 34;18012;BORDIGHERA;;0184 261474;0184 261475;info@hotelreginabordighera.it;http://www.hotelreginabordighera.it;IM88;10;18;0;17;1]                                                                                   ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;2STELLE;ROSALIA;VIA VITTORIO EMANUELE, 429;18012;BORDIGHERA;;0184 261366;0184 261336;info@hotelrosalia.it;http://www.hotelrosalia.it;IM117;30;57;3;15;1]                                                                                                             ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;ASTORIA;VIA T. TASSO, 2;18012;BORDIGHERA;;0184 262906;0184 261612;albergoastoriaa@libero.it;http://www.astoriabordighera.it;IM64;12;24;0;18;1]                                                                                                               ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;AURORA;VIA PELLOUX, 42/B;18012;BORDIGHERA;;0184 261311;0184 261312;info@hotelaurora.net;http://www.hotelaurora.net;IM63;30;55;3;16;1]                                                                                                                        ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;CENTROHOTEL;PIAZZA EROI LIBERTA', 10;18012;BORDIGHERA;;0184 265265/6;0184 265253;centrohotel@libero.it;http://www.centrohotelbordighera.com;IM68;29;50;13;17;1]                                                                                              ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;DELLA PUNTA;VIA SANT'AMPELIO, 27;18012;BORDIGHERA;;0184 262555;0184 268925;info@hoteldellapunta.it;http://www.hoteldellapunta.it;IM72;18;36;0;13;1]                                                                                                          ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;DUARTE;VIA NOARO, 1;18012;BORDIGHERA;;0184 263436;0184 263436;hotelduarte@hotmail.it;http://www.duartehotel.it;IM118;14;22;2;17;1]                                                                                                                           ##
BORDIGHERA;IMPERIA;Liguria;Alberghi;3STELLE;GARDEN;VIA ROBERTO, 10;18012;BORDIGHERA;;0184 264462;0184 261344;hotelgardenbordighera@gmail.com;http://www.hotelgardenbordighera.com;IM74;15;24;0;19;1]                                                                                                     ##
